Field strength (T),NiCl2 Concentration (mM),Temp (C),T1 reported (ms)
1.5,0.299,20,2000
1.5,0.623,20,1500
1.5,1.072,20,1000
1.5,1.72,20,700
1.5,2.617,20,500
1.5,3.912,20,300
1.5,5.731,20,250
1.5,8.297,20,200
1.5,11.936,20,150
1.5,17.07,20,100
1.5,24.326,20,75
1.5,34.59,20,50
1.5,49.122,20,30
1.5,69.68,20,20
