Field strength (T),NiCl2 Concentration (mM),Temp (C),T1 reported (ms)
3,0.299,20,2000
3,0.623,20,1500
3,1.072,20,1000
3,1.72,20,750
3,2.617,20,500
3,3.912,20,300
3,5.731,20,250
3,8.297,20,200
3,11.936,20,150
3,17.07,20,100
3,24.326,20,60
3,34.59,20,40
3,49.122,20,30
3,69.68,20,20
