Field strength (T),MnCl2 Concentration (mM),Temp (C),T2 reported (ms)
1.5,1,20,50
1.5,2,20,70
1.5,3,20,100
1.5,4,20,50
1.5,5,20,100
1.5,6,20,150
1.5,7,20,100
1.5,8,20,130
1.5,9,20,110
1.5,10,20,150
1.5,11,20,130
1.5,12,20,380
1.5,13,20,220
1.5,14,20,160
1.5,15,20,210
1.5,16,20,200
1.5,17,20,180
1.5,18,20,170
